Customer_ID,default,Status_Checking_Acc,Duration_in_Months,Credit_History,Purposre_Credit_Taken,Credit_Amount,Savings_Acc,Years_At_Present_Employment,Inst_Rt_Income,Marital_Status_Gender,Other_Debtors_Guarantors,Current_Address_Yrs,Property,Age,Other_Inst_Plans ,Housing,Num_CC,Job,Dependents,Telephone,Foreign_Worker
100001,0,A11,6,A34,A43,1169.0,A65,A75,4,A93,A101,4,A121,67.0,A143,A152,2,A173,1,A192,A201
100002,0,A12,48,A32,A43,5951.0,A61,A73,2,A92,A101,2,A121,22.0,A143,A152,1,A173,1,A191,A201
100003,0,A14,12,A34,A46,2096.0,A61,A74,2,A93,A101,3,A121,49.0,A143,A152,1,A172,2,A191,A201
100004,0,A11,42,A32,A42,7882.0,A61,A74,2,A93,A103,4,A122,45.0,A143,A153,1,A173,2,A191,A201
100005,1,A11,24,A33,A40,4870.0,A61,A73,3,A93,A101,4,A124,53.0,A143,A153,2,A173,2,A191,A201
100006,0,A14,36,A32,A46,9055.0,A65,A73,2,A93,A101,4,A124,35.0,A143,A153,1,A172,2,A192,A201
100007,0,A14,24,A32,A42,2835.0,A63,A75,3,A93,A101,4,A122,53.0,A143,A152,1,A173,1,A191,A201
100008,0,A12,36,A32,A41,6948.0,A61,A73,2,A93,A101,2,A123,35.0,A143,A151,1,A174,1,A192,A201
100009,0,A14,12,A32,A43,3059.0,A64,A74,2,A91,A101,4,A121,61.0,A143,A152,1,A172,1,A191,A201
100010,1,A12,30,A34,A40,5234.0,A61,A71,4,A94,A101,2,A123,28.0,A143,A152,2,A174,1,A191,A201
100011,1,A12,12,A32,A40,1295.0,A61,A72,3,A92,A101,1,A123,25.0,A143,A151,1,A173,1,A191,A201
100012,1,A11,48,A32,A49,4308.0,A61,A72,3,A92,A101,4,A122,24.0,A143,A151,1,A173,1,A191,A201
100013,0,A12,12,A32,A43,1567.0,A61,A73,1,A92,A101,1,A123,22.0,A143,A152,1,A173,1,A192,A201
100014,1,A11,24,A34,A40,1199.0,A61,A75,4,A93,A101,4,A123,60.0,A143,A152,2,A172,1,A191,A201
100015,0,A11,15,A32,A40,1403.0,A61,A73,2,A92,A101,4,A123,28.0,A143,A151,1,A173,1,A191,A201
100016,1,A11,24,A32,A43,1282.0,A62,A73,4,A92,A101,2,A123,32.0,A143,A152,1,A172,1,A191,A201
100017,0,A14,24,A34,A43,2424.0,A65,A75,4,A93,A101,4,A122,53.0,A143,A152,2,A173,1,A191,A201
100018,0,A11,30,A30,A49,8072.0,A65,A72,2,A93,A101,3,A123,25.0,A141,A152,3,A173,1,A191,A201
